Metric,Linear Regression,Random Forest,XGBoost
R² Score,0.9941760882086105,0.9997759559718259,0.9990442502169951
RMSE,0.7771515642979764,0.15242809340781643,0.31482588675025164
MAE,0.4223879461688342,0.08728209562406654,0.11011073191267855
